date,company_focused_summary
2016-08-25,"Buying Barrick Gold, Selling Apple: Fast Money Picks For August 25. Buying Barrick Gold, Selling Apple: Fast Money Picks For August 25. US Bias Regarding Tax Investigations of US Companies, Including Apple, McDonald's. Buying Barrick Gold, Selling Apple: Fast Money Picks For August 25"
2016-08-26,"Pacific Crest Recommends Apple Stock, But Still Wary Of Its Suppliers. Pacific Crest Recommends Apple Stock, But Still Wary Of Its Suppliers. Pacific Crest Recommends Apple Stock, But Still Wary Of Its Suppliers. Pacific Crest Recommends Apple Stock, But Still Wary Of Its Suppliers. Pacific Crest Recommends Apple Stock, But Still Wary Of Its Suppliers. Pacific Crest Recommends Apple Stock, But Still Wary Of Its Suppliers"
2016-08-27,No Information
2016-08-28,No Information
2016-08-29,Goldman Sachs Reiterates Sell on Garmin Citing New Product Offerings From FitBit And The Pending Apple Product Announcement
2016-08-30,"Markets Are Mixed in Early Trading as Investors Shake Off Apple Tax Hit. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. EU Seeking Back Taxes From Apple. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat. Apple IPR Final Determination Invalidates '009 and '810 VirnetX Claims. The Market In 5 Minutes: Apple, Abercrombie And Hershey Feeling The Summer Heat"
2016-08-31,Perion Adds Former Apple iAd Sales and Marketing Executives to Enhance Mobile
2016-09-01,No Information
2016-09-02,No Information
2016-09-03,No Information
2016-09-04,No Information
2016-09-05,No Information
2016-09-06,Fitbit Retains Lead While Apple Sinks
2016-09-07,"The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. Control4 Shares Plunge Amid Apple's 'Home Kit'. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. Watch For Weakness In Fossil, Apple Announces They Have Jumped Ahead Of Fossil In 2015 Worldwide Sales. Apple's Tim Cook Highlighting Apple Watch is Only Second to Rolex in Global Watch Sales. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. Resistant iPhone with Better Camera Could Be Concern. Garmin Sells Off After Apple Launches 'Swim Proof' Apple Watch Series 2. Garmin Shares Moving Lower On Apple GPS Comment. Featured at Apple Event. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. Apple, Eli Lilly, U. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. Apple, Eli Lilly, U. Under Armour, Fitbit Shares Move Lower as Apple, Nike Announce Deal for Watch. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake. Apple, Eli Lilly, U. The Market In 5 Minutes: All Eyes On Apple's New iPhone And Ackman's New Chipotle Stake"
2016-09-08,The Market In 5 Minutes: iPhone 7 Arrives. How Apple's iPhone Announcement Reveled Benefits For Cirrus Logic. The Market In 5 Minutes: iPhone 7 Arrives. The Market In 5 Minutes: iPhone 7 Arrives. The Market In 5 Minutes: iPhone 7 Arrives. The Market In 5 Minutes: iPhone 7 Arrives. The Market In 5 Minutes: iPhone 7 Arrives. The Market In 5 Minutes: iPhone 7 Arrives. Here's What Apple's iPhone 7 Means For Japanese Companies. The Market In 5 Minutes: iPhone 7 Arrives
2016-09-09,The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks. The Market In 5 Minutes: Apple And Oil Weighing Down Stocks
2016-09-10,No Information
2016-09-11,No Information
2016-09-12,No Information
2016-09-13,"Apple, PayPal A Couple Of The Only Stocks That Traded Green Today. Apple, PayPal A Couple Of The Only Stocks That Traded Green Today. Strength In Apple Shares Not Translating To Its Suppliers And Carriers. Strength In Apple Shares Not Translating To Its Suppliers And Carriers. Strength In Apple Shares Not Translating To Its Suppliers And Carriers. Strength In Apple Shares Not Translating To Its Suppliers And Carriers. Strength In Apple Shares Not Translating To Its Suppliers And Carriers. Strength In Apple Shares Not Translating To Its Suppliers And Carriers. iPhone 7 Buyers Could Overspend By As Much As $1,324. Strength In Apple Shares Not Translating To Its Suppliers And Carriers"
2016-09-14,"Acacia Research Spokesperson Confirms To Benzinga That They 'Won A Patent Trial Against Apple This Afternoon', Company To Issue Press Release With Details Shortly. Traders Attributing Upside in Acacia Shares to Ruling in Case Against Apple. The Numbers Behind Every iPhone Pre. , Entertainment Conference Says Apple iPhone Pre"
2016-09-15,Acacia Research Wins Patent Case Against Apple. Cellular Communications Equipment Wins $22.1M in Patent Infringement Case Against Apple. Apple's Smartphone Market Share Shows iPhone Sales Have Room To Run. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. Apple's Smartphone Market Share Shows iPhone Sales Have Room To Run. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. The Market In 5 Minutes: Apple Helps Lead Stocks Higher. Mobile Carriers Making The Most Of iPhone 7 Mania. Preorders Suggest Apple's iPhone 7 May Exceed The Street's Low Expectations. iPhone 7 Plus Plus: BTIG Raises Apple's Price Target From $124 To $133
2016-09-16,Has No Partnership with Apple
2016-09-17,No Information
2016-09-18,No Information
2016-09-19,Carriers Willing To Face Revenue Pressures From iPhone Promos In Order To Chase Market Share
2016-09-20,An Interview With The CEO of Apple Hospitality REIT (Part 1). An Interview With The CEO of Apple Hospitality REIT (Part 1). Financial Pundit Jeff Macke Tweets: $AAPL telling me the Apple iPhone 7 A10 chipset is incompatible with $VZ network
2016-09-21,Part 2 Of Our Interview With The CEO of Apple Hospitality REIT. Analyst: Apple Buying A Luxury Car Company Is A Bad Move. Part 2 Of Our Interview With The CEO of Apple Hospitality REIT
2016-09-22,"Hearing JP Morgan Says Apple. Sirius XM Counting Down To Competition From Apple CarPlay And The Android Auto System. Sirius XM Counting Down To Competition From Apple CarPlay And The Android Auto System. Verizon CFO Says They Have Seen Increase In iPhone Volumes, Doesn't See iPhone Promotions Impacting Q3"
2016-09-23,Are Japan's Antitrust Regulators Targeting Apple?
2016-09-24,No Information
2016-09-25,No Information
2016-09-26,No Information
2016-09-27,No Information
2016-09-28,No Information
2016-09-29,No Information
2016-09-30,No Information
2016-10-01,No Information
2016-10-02,No Information
2016-10-03,"Company Could Be A Legitimate Target For Disney, Apple. Data From China Reiterates Strong Demand For Apple's iPhone 7 Plus. VirnetX Wins $302 Million From Apple, Stock Up 50%. VirnetX Press Release Confirms $302M Verdict Against Apple. VirnetX Shares Up ~63% Following Weekend News A Jury Has Found Apple Liable for $302M in Patent Case with Co"
2016-10-04,No Information
2016-10-05,"What A Netflix Acquisition By Apple Might Look Like. Bernstein Says If Apple Bought Netflix Co Could 'continue to run it as it does today', Cautions Apple Is More Likely To Partner With Netflix. Google's Pixel Phone: Everything You Wanted The iPhone To Be"
2016-10-06,"Twitter Shares Nosedive Following Reports That Google, Apple And Disney Aren't Interested. Twitter Shares Nosedive Following Reports That Google, Apple And Disney Aren't Interested. Twitter Falls to Premarket Low of $20.73 Following Recode Report of No Bids Coming from Disney, Google, Apple. Hours Trade Following Re/code Story 'Sources: Google will not make a Twitter bid and Apple is also an unlikely suitor'. Twitter Shares Nosedive Following Reports That Google, Apple And Disney Aren't Interested. Twitter Shares Nosedive Following Reports That Google, Apple And Disney Aren't Interested"
2016-10-07,ParkerVision Files Patent Infringement Complaint vs Apple in Germany. Demand For iPhone 7 Is Expected To Boost Taiwan's Exports
2016-10-08,No Information
2016-10-09,No Information
2016-10-10,No Information
2016-10-11,No Information
2016-10-12,No Information
2016-10-13,Fast Money Traders Share Their Thoughts On Cisco And Apple
2016-10-14,No Information
2016-10-15,No Information
2016-10-16,No Information
2016-10-17,"Apple, GE, Home Depot, Mastercard: Fast Money Picks For October 17. Apple, GE, Home Depot, Mastercard: Fast Money Picks For October 17. Farhad Manjoo Isn't A Fan Of Goldman's Apple Bundle Idea. The French Target FANG Stocks, Apple With New Tax Proposal. Apple Prime? Goldman Sachs Says Apple Has A $19 Billion Bundle Package On Its Hands. Apple Music Vs"
2016-10-18,"Hearing Apple Has Lost IPR Final Determination for '643, VirnetX's Patent Claims Remain Valid"
2016-10-19,No Information
2016-10-20,No Information
2016-10-21,"Hearing Apple Approached Time Warner Few Mos. Ago, Apple is Monitoring Situation Related to Time Warner. Apple Said To Be Unlikely To Bid For Time Warner"
2016-10-22,No Information
2016-10-23,No Information
2016-10-24,"AT&T, Time Warner CEOs Discuss Merger, Why Talks With Apple Failed"
2016-10-25,"GM, Apple Earnings In Focus. GM, Apple Earnings In Focus. GM, Apple Earnings In Focus"
2016-10-26,"The Market In 5 Minutes: Wall Street Not Too Happy With Apple, Chipotle Or The Cubbies. The Market In 5 Minutes: Wall Street Not Too Happy With Apple, Chipotle Or The Cubbies. Apple Shares Drop Following Q4 Results. The Market In 5 Minutes: Wall Street Not Too Happy With Apple, Chipotle Or The Cubbies. Tim Cook Was Disrespected During Apple's Conference Call: Jim Cramer. Apple Earnings Paint Mixed Picture, But Crude Weakness More Of A Drag. The Market In 5 Minutes: Wall Street Not Too Happy With Apple, Chipotle Or The Cubbies. Apple Shares Drop Following Q4 Results. Tim Cook Was Disrespected During Apple's Conference Call: Jim Cramer. The Market In 5 Minutes: Wall Street Not Too Happy With Apple, Chipotle Or The Cubbies. Music Fans Are Ditching Pandora For Spotify, Apple iTunes: Rich Tullo"
2016-10-27,Apple's New MacBook Specs Take On Top Competitors
2016-10-28,No Information
2016-10-29,No Information
2016-10-30,Goldman Sachs Wants Apple to Bid for Time Warner
2016-10-31,No Information
2016-11-01,No Information
2016-11-02,CNBC's David Faber Reporting Apple is Not Interested in Buying Time Warner
2016-11-03,"Apple, Samsung Could Be To Blame For Qualcomm's Light Guidance. Apple, Samsung Could Be To Blame For Qualcomm's Light Guidance"
2016-11-04,No Information
2016-11-05,No Information
2016-11-06,No Information
2016-11-07,No Information
2016-11-08,No Information
2016-11-09,Farmer Mac Reports Q3 EPS $1.54 vs $1.20 Est
2016-11-10,"Big Tech Leading Markets Lower Since Opening Bell: Facebook Down 7%, Netflix 6%, Amazon 5.2%, Alphabet, QUALCOMM, Adobe 4%, Yahoo 3.5%, Microsoft 3.2%, Apple 3%. Big Tech Leading Markets Lower Since Opening Bell: Facebook Down 7%, Netflix 6%, Amazon 5.2%, Alphabet, QUALCOMM, Adobe 4%, Yahoo 3.5%, Microsoft 3.2%, Apple 3%. Big Tech Leading Markets Lower Since Opening Bell: Facebook Down 7%, Netflix 6%, Amazon 5.2%, Alphabet, QUALCOMM, Adobe 4%, Yahoo 3.5%, Microsoft 3.2%, Apple 3%. Big Tech Leading Markets Lower Since Opening Bell: Facebook Down 7%, Netflix 6%, Amazon 5.2%, Alphabet, QUALCOMM, Adobe 4%, Yahoo 3.5%, Microsoft 3.2%, Apple 3%"
2016-11-11,"Carl Quintinilla Tweets: According to $BABA, most popular US brands in China are:  NO.1 Apple NO.2 Nike NO.3 New Balance NO.4 Playboy NO.5 Skechers. Hearing Apple Apple Hospitality REIT and Popeyes Louisiana Kitchen To Be Featured On Jim Cramer's Mad Money Tonight. Carl Quintinilla Tweets: According to $BABA, most popular US brands in China are:  NO.1 Apple NO.2 Nike NO.3 New Balance NO.4 Playboy NO.5 Skechers"
2016-11-12,No Information
2016-11-13,No Information
2016-11-14,No Information
2016-11-15,Benzinga Has Learned of Source Calling Multiple Media Outlets Suggesting Apple Could Be Interested in Co. 9to5 Mac Reporting No OLED Display Expected On 4.7
2016-11-16,No Information
2016-11-17,Apple May Not be able to Switch to OLED in Next iPhone Due to Supply Issues. Apple May Not be able to Switch to OLED in Next iPhone Due to Supply Issues
2016-11-18,No Information
2016-11-20,No Information
2016-11-21,Previewing Black Friday Week: Apple Best Positioned Tech Name. Ubergizmo Reports 2018 iPhone Rumored To Use TSMC's 7nm Processors
2016-11-22,No Information
2016-11-23,No Information
2016-11-24,No Information
2016-11-25,No Information
2016-11-26,"Apple iPad, Samsung 4K TVs Top Selling Electronics"
2016-11-27,No Information
2016-11-28,"Apple Suppliers Say OLED Displays Could Appear in iPhones as Early as 2017. Say Apple has Asked Display Makers in Asia to Increase OLED Production, Submit Prototypes. Apple Suppliers Say OLED Displays Could Appear in iPhones as Early as 2017. Say Apple has Asked Display Makers in Asia to Increase OLED Production, Submit Prototypes"
2016-11-29,Taiwan Semiconductor's Q1 2017 Revenue to be Negatively Impacted by Drop in 16nm Chip Orders from Apple
2016-11-30,No Information
2016-12-01,"OTR Research Says Despite Support Of Apple Pay In 2017, Expects Alibaba's Alipay And Tencent's Tenpay To Remain Dominant Due To No Fee And Apple's Lack Of Consumer Incentives. How Sallie Mae Went Private, And How Fannie Mae And Freddie Mac Could Do The Same"
2016-12-02,No Information
2016-12-03,No Information
2016-12-04,"Fast Money Traders Weigh In On Apple, Fitbit, Wal"
2016-12-05,Fannie Mae And Freddie Mac: Everything You Need To Know
2016-12-06,"The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales. The Market In 5 Minutes: Lower Oil Prices, Higher Apple Watch Sales"
2016-12-07,Apple's iPhone 7 Cuts On Semi Supply Chain: Not As Bad As Last Year. Hearing Apple Discussing with Film Studios Related to Earlier Movie Rentals
2016-12-08,"Netflix Shares Up More Than $1 Over Last Min as Traders Passing Around Renewed, Unlikely Chatter of Apple Interest"
2016-12-09,"Snapchat, Apple And Twitter Understand The Hidden Value Of 'Shareable Design'. 16nm Production Increases At TSM Are For The Apple Watch, Not The iPhone. UPDATE: VirnetX Says 'Patents Involved in Decisions are not Patents Involved in Apple Cases'"
2016-12-10,No Information
2016-12-11,No Information
2016-12-12,No Information
2016-12-13,"KKR to Acquire Apple Leisure Group, Terms Not Disclosed. Have Been Hurt by Sluggish iPhone Related Sales"
2016-12-14,No Information
2016-12-15,", Dialog Semi  In Talks With Apple On Long"
2016-12-16,Jabil Circuit's Q1 Solid Despite Weakness In Its Apple. Apple Gets Into The Indonesian Market. Based Apple Watch Payment Plan
2016-12-18,No Information
2016-12-19,No Information
2016-12-20,Term Parabolic Move as Traders Passing Around WaPo Article from Yesterday Highlighting SQM as Main Supplier for Apple's Lithium Needs. Term Parabolic Move as Traders Passing Around WaPo Article from Yesterday Highlighting SQM as Main Supplier for Apple's Lithium Needs. Term Parabolic Move as Traders Passing Around WaPo Article from Yesterday Highlighting SQM as Main Supplier for Apple's Lithium Needs. Term Parabolic Move as Traders Passing Around WaPo Article from Yesterday Highlighting SQM as Main Supplier for Apple's Lithium Needs
2016-12-21,"Nokia Sues Apple In Europe, United States For Infringement Of Patents. Patently Apple Reporting Apple Has filed 'Major' Antitrust Case Against Co. Nokia Sues Apple In Europe, United States For Infringement Of Patents. UPDATE: Nokia Suit Against Apple Filed in Germany. Nokia Sues Apple In Europe, U. BZ NOTE: Reminder Patently Apple Earlier Reported 'Apple Files a Major Antitrust Case against Acacia Research Pointing to a Conspiracy with Nokia'. Patently Apple Reporting Apple Has filed 'Major' Antitrust Case Against Co. Energous Shares Up 4.14% As Traders Pass Around Word The Co Could Be Working With Apple, Some Note That This Has Been Mentioned More Than Once In The Past"
2016-12-22,Nokia Has Expanded Patent Litigation Against Apple Into Asia
2016-12-23,No Information
2016-12-27,"The Najarian Brothers, On CNBC, Say They Are Long Incyte, Apple"
2016-12-28,The Team That Built The iPhone: Who Were They And Where Are They Now?
2016-12-29,No Information
2016-12-30,No Information
2016-12-31,No Information
2017-01-01,No Information
